Molecule ChEMBL ID,Smiles,Standard Type,Standard Value,Standard Units
CHEMBL305660,CC(C)(C)c1ccc(C(=O)CCCN2CCC(OC(c3ccccc3)c3ccccc3)CC2)cc1,IC50,,
CHEMBL423192,COc1ccc(C[C@H]2NC[C@H](O)[C@H]2OC(C)=O)cc1,IC50,,
CHEMBL85925,CC(C)COC(=O)Oc1ccc2cc(S(N)(=O)=O)sc2c1,IC50,5.6,nM
CHEMBL82557,CC(C)C(=O)Oc1ccc2nc(S(N)(=O)=O)sc2c1,IC50,6.8,nM
CHEMBL103143,COCCN(CCOC)Cc1cc2cc(S(N)(=O)=O)oc2s1,IC50,5.1,nM
CHEMBL4473329,COc1ccccc1C(=O)NC(=S)Nc1ccc(S(N)(=O)=O)cc1,IC50,2.09,nM
CHEMBL17,NS(=O)(=O)c1cc(Cl)c(Cl)c(S(N)(=O)=O)c1,IC50,40,nM
CHEMBL866,COc1c(C)c2c(c(O)c1C/C=C(\C)CCC(=O)O)C(=O)OC2,IC50,,
CHEMBL353861,NS(=O)(=O)c1cc2c(s1)S(=O)(=O)N(c1cccc(O)c1)C(CN1CCOCC1)=C2,IC50,1.15,nM
CHEMBL85910,Nc1ccc2cc(S(N)(=O)=O)sc2c1,IC50,10,nM
CHEMBL313026,CN(C)Cc1ccc2sc(S(N)(=O)=O)cc2c1,IC50,12,nM
CHEMBL83298,CN(C)C(=O)Oc1ccc2sc(S(N)(=O)=O)cc2c1,IC50,5,nM
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,IC50,47.6,nM
CHEMBL122708,C[C@]12CC[C@@H]3c4ccc(OS(N)(=O)=O)cc4CC[C@H]3[C@@H]1CCC2=O,IC50,42,nM
CHEMBL218490,,,,
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,IC50,362,nM
CHEMBL163094,NS(=O)(=O)c1cc2cc3c(cc2[nH]1)OCO3,IC50,25,nM
CHEMBL105725,NS(=O)(=O)c1ccc(S(=O)(=O)CCCO)s1,IC50,6,nM
CHEMBL333747,NS(=O)(=O)c1cc(S(=O)(=O)c2ccc(O)cc2)co1,IC50,4.2,nM
CHEMBL540026,Cl.NS(=O)(=O)c1cc2cc(CN3CCOCC3)sc2s1,IC50,3,nM
CHEMBL1088152,NS(=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,IC50,,
CHEMBL563619,O=[N+]([O-])O[C@@H](CO)c1ccccc1,IC50,632000,nM
CHEMBL1094857,O=[N+]([O-])O[C@@H]1CC2CCC1[C@@H]2O,IC50,65100,nM
CHEMBL734,CC(=O)NO,IC50,47000,nM
CHEMBL85636,CC(=O)Oc1ccc2cc(S(N)(=O)=O)sc2c1,IC50,4,nM
CHEMBL1098816,CN(C)CCNC(=O)c1cc(S(N)(=O)=O)cnc1Sc1ccccc1,IC50,2710,nM
CHEMBL1095531,NS(=O)(=O)c1ccc(Sc2c(F)c(F)cc(F)c2F)c(C(=O)NCCc2ccccn2)c1,IC50,18.4,nM
CHEMBL1099151,NCCCCNC(=O)c1cc(S(N)(=O)=O)cnc1Sc1c(F)c(F)cc(F)c1F,IC50,45.9,nM
CHEMBL1099003,CCNC(=O)c1cc(S(N)(=O)=O)cc(F)c1SC(C)C,IC50,3.77,nM
CHEMBL553845,Cl.NS(=O)(=O)c1cc2cc(CN3CCOCC3)ccc2s1,IC50,15,nM
CHEMBL544731,Cl.NS(=O)(=O)c1cc2cc(C(=O)NCCN3CCSCC3)sc2s1,IC50,2.9,nM
CHEMBL27769,C[C@]12CCC(=O)C[C@@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](O)CC[C@@H]12,IC50,,
